,Experiment_Name,Sample_ID,Unique_ID,Date_Started,Date_Stopped
1093,Salt_Tolerance,Kashmir_0mM_1,000UD,9/15/23,10/12/23
1094,Salt_Tolerance,Kashmir_0mM_2,000UE,9/15/23,10/12/23
1095,Salt_Tolerance,Kashmir_0mM_3,000UF,9/15/23,10/12/23
1096,Salt_Tolerance,Kashmir_0mM_4,000UG,9/15/23,10/12/23
1097,Salt_Tolerance,Kashmir_0mM_5,000UH,9/15/23,10/12/23
1098,Salt_Tolerance,Kashmir_0mM_6,000UI,9/15/23,10/12/23
1099,Salt_Tolerance,Kashmir_50mM_1,000UJ,9/15/23,10/12/23
1100,Salt_Tolerance,Kashmir_50mM_2,000UK,9/15/23,10/12/23
1101,Salt_Tolerance,Kashmir_50mM_3,000UL,9/15/23,10/12/23
1102,Salt_Tolerance,Kashmir_50mM_4,000UM,9/15/23,10/12/23
1103,Salt_Tolerance,Kashmir_50mM_5,000UN,9/15/23,10/12/23
1104,Salt_Tolerance,Kashmir_50mM_6,000UO,9/15/23,10/12/23
1105,Salt_Tolerance,Kashmir_100mM_1,000UP,9/15/23,10/12/23
1106,Salt_Tolerance,Kashmir_100mM_2,000UQ,9/15/23,10/12/23
1107,Salt_Tolerance,Kashmir_100mM_3,000UR,9/15/23,10/12/23
1108,Salt_Tolerance,Kashmir_100mM_4,000US,9/15/23,10/12/23
1109,Salt_Tolerance,Kashmir_100mM_5,000UT,9/15/23,10/12/23
1110,Salt_Tolerance,Kashmir_100mM_6,000UU,9/15/23,10/12/23
1111,Salt_Tolerance,Kashmir_200mM_1,000UV,9/15/23,10/12/23
1112,Salt_Tolerance,Kashmir_200mM_2,000UW,9/15/23,10/12/23
1113,Salt_Tolerance,Kashmir_200mM_3,000UX,9/15/23,10/12/23
1114,Salt_Tolerance,Kashmir_200mM_4,000UY,9/15/23,10/12/23
1115,Salt_Tolerance,Kashmir_200mM_5,000UZ,9/15/23,10/12/23
1116,Salt_Tolerance,Kashmir_200mM_6,000V0,9/15/23,10/12/23
1117,Salt_Tolerance,Kashmir_300mM_1,000V1,9/15/23,10/12/23
1118,Salt_Tolerance,Kashmir_300mM_2,000V2,9/15/23,10/12/23
1119,Salt_Tolerance,Kashmir_300mM_3,000V3,9/15/23,10/12/23
1120,Salt_Tolerance,Kashmir_300mM_4,000V4,9/15/23,10/12/23
1121,Salt_Tolerance,Kashmir_300mM_5,000V5,9/15/23,10/12/23
1122,Salt_Tolerance,Kashmir_300mM_6,000V6,9/15/23,10/12/23
1123,Salt_Tolerance,Kashmir_400mM_1,000V7,9/15/23,10/12/23
1124,Salt_Tolerance,Kashmir_400mM_2,000V8,9/15/23,10/12/23
1125,Salt_Tolerance,Kashmir_400mM_3,000V9,9/15/23,10/12/23
1126,Salt_Tolerance,Kashmir_400mM_4,000VA,9/15/23,10/12/23
1127,Salt_Tolerance,Kashmir_400mM_5,000VB,9/15/23,10/12/23
1128,Salt_Tolerance,Kashmir_400mM_6,000VC,9/15/23,10/12/23
1129,Salt_Tolerance,Greece_0mM_1,000VD,9/15/23,10/12/23
1130,Salt_Tolerance,Greece_0mM_2,000VE,9/15/23,10/12/23
1131,Salt_Tolerance,Greece_0mM_3,000VF,9/15/23,10/12/23
1132,Salt_Tolerance,Greece_0mM_4,000VG,9/15/23,10/12/23
1133,Salt_Tolerance,Greece_0mM_5,000VH,9/15/23,10/12/23
1134,Salt_Tolerance,Greece_0mM_6,000VI,9/15/23,10/12/23
1135,Salt_Tolerance,Greece_50mM_1,000VJ,9/15/23,10/12/23
1136,Salt_Tolerance,Greece_50mM_2,000VK,9/15/23,10/12/23
1137,Salt_Tolerance,Greece_50mM_3,000VL,9/15/23,10/12/23
1138,Salt_Tolerance,Greece_50mM_4,000VM,9/15/23,10/12/23
1139,Salt_Tolerance,Greece_50mM_5,000VN,9/15/23,10/12/23
1140,Salt_Tolerance,Greece_50mM_6,000VO,9/15/23,10/12/23
1141,Salt_Tolerance,Greece_100mM_1,000VP,9/15/23,10/12/23
1142,Salt_Tolerance,Greece_100mM_2,000VQ,9/15/23,10/12/23
1143,Salt_Tolerance,Greece_100mM_3,000VR,9/15/23,10/12/23
1144,Salt_Tolerance,Greece_100mM_4,000VS,9/15/23,10/12/23
1145,Salt_Tolerance,Greece_100mM_5,000VT,9/15/23,10/12/23
1146,Salt_Tolerance,Greece_100mM_6,000VU,9/15/23,10/12/23
1147,Salt_Tolerance,Greece_200mM_1,000VV,9/15/23,10/12/23
1148,Salt_Tolerance,Greece_200mM_2,000VW,9/15/23,10/12/23
1149,Salt_Tolerance,Greece_200mM_3,000VX,9/15/23,10/12/23
1150,Salt_Tolerance,Greece_200mM_4,000VY,9/15/23,10/12/23
1150,Salt_Tolerance,Greece_200mM_5,000VZ,9/15/23,10/12/23
1152,Salt_Tolerance,Greece_200mM_6,000W0,9/15/23,10/12/23
1153,Salt_Tolerance,Greece_300mM_1,000W1,9/15/23,10/12/23
1154,Salt_Tolerance,Greece_300mM_2,000W2,9/15/23,10/12/23
1155,Salt_Tolerance,Greece_300mM_3,000W3,9/15/23,10/12/23
1156,Salt_Tolerance,Greece_300mM_4,000W4,9/15/23,10/12/23
1157,Salt_Tolerance,Greece_300mM_5,000W5,9/15/23,10/12/23
1158,Salt_Tolerance,Greece_300mM_6,000W6,9/15/23,10/12/23
1159,Salt_Tolerance,Greece_400mM_1,000W7,9/15/23,10/12/23
1160,Salt_Tolerance,Greece_400mM_2,000W8,9/15/23,10/12/23
1161,Salt_Tolerance,Greece_400mM_3,000W9,9/15/23,10/12/23
1162,Salt_Tolerance,Greece_400mM_4,000WA,9/15/23,10/12/23
1163,Salt_Tolerance,Greece_400mM_5,000WB,9/15/23,10/12/23
1164,Salt_Tolerance,Greece_400mM_6,000WC,9/15/23,10/12/23
1165,Salt_Tolerance,Germany_0mM_1,000WD,9/15/23,10/12/23
1166,Salt_Tolerance,Germany_0mM_2,000WE,9/15/23,10/12/23
1167,Salt_Tolerance,Germany_0mM_3,000WF,9/15/23,10/12/23
1168,Salt_Tolerance,Germany_0mM_4,000WG,9/15/23,10/12/23
1169,Salt_Tolerance,Germany_0mM_5,000WH,9/15/23,10/12/23
1170,Salt_Tolerance,Germany_0mM_6,000WI,9/15/23,10/12/23
1171,Salt_Tolerance,Germany_50mM_1,000WJ,9/15/23,10/12/23
1172,Salt_Tolerance,Germany_50mM_2,000WK,9/15/23,10/12/23
1173,Salt_Tolerance,Germany_50mM_3,000WL,9/15/23,10/12/23
1174,Salt_Tolerance,Germany_50mM_4,000WM,9/15/23,10/12/23
1175,Salt_Tolerance,Germany_50mM_5,000WN,9/15/23,10/12/23
1176,Salt_Tolerance,Germany_50mM_6,000WO,9/15/23,10/12/23
1177,Salt_Tolerance,Germany_100mM_1,000WP,9/15/23,10/12/23
1178,Salt_Tolerance,Germany_100mM_2,000WQ,9/15/23,10/12/23
1179,Salt_Tolerance,Germany_100mM_3,000WR,9/15/23,10/12/23
1180,Salt_Tolerance,Germany_100mM_4,000WS,9/15/23,10/12/23
1181,Salt_Tolerance,Germany_100mM_5,000WT,9/15/23,10/12/23
1182,Salt_Tolerance,Germany_100mM_6,000WU,9/15/23,10/12/23
1183,Salt_Tolerance,Germany_200mM_1,000WV,9/15/23,10/12/23
1184,Salt_Tolerance,Germany_200mM_2,000WW,9/15/23,10/12/23
1185,Salt_Tolerance,Germany_200mM_3,000WX,9/15/23,10/12/23
1186,Salt_Tolerance,Germany_200mM_4,000WY,9/15/23,10/12/23
1187,Salt_Tolerance,Germany_200mM_5,000WZ,9/15/23,10/12/23
1188,Salt_Tolerance,Germany_200mM_6,000X0,9/15/23,10/12/23
1189,Salt_Tolerance,Germany_300mM_1,000X1,9/15/23,10/12/23
1190,Salt_Tolerance,Germany_300mM_2,000X2,9/15/23,10/12/23
1191,Salt_Tolerance,Germany_300mM_3,000X3,9/15/23,10/12/23
1192,Salt_Tolerance,Germany_300mM_4,000X4,9/15/23,10/12/23
1193,Salt_Tolerance,Germany_300mM_5,000X5,9/15/23,10/12/23
1194,Salt_Tolerance,Germany_300mM_6,000X6,9/15/23,10/12/23
1195,Salt_Tolerance,Germany_400mM_1,000X7,9/15/23,10/12/23
1196,Salt_Tolerance,Germany_400mM_2,000X8,9/15/23,10/12/23
1197,Salt_Tolerance,Germany_400mM_3,000X9,9/15/23,10/12/23
1198,Salt_Tolerance,Germany_400mM_4,000XA,9/15/23,10/12/23
1199,Salt_Tolerance,Germany_400mM_5,000XB,9/15/23,10/12/23
1200,Salt_Tolerance,Germany_400mM_6,000XC,9/15/23,10/12/23
1201,Salt_Tolerance,France_0mM_1,000XD,9/15/23,10/12/23
1202,Salt_Tolerance,France_0mM_2,000XE,9/15/23,10/12/23
1203,Salt_Tolerance,France_0mM_3,000XF,9/15/23,10/12/23
1204,Salt_Tolerance,France_0mM_4,000XG,9/15/23,10/12/23
1205,Salt_Tolerance,France_0mM_5,000XH,9/15/23,10/12/23
1206,Salt_Tolerance,France_0mM_6,000XI,9/15/23,10/12/23
1207,Salt_Tolerance,France_50mM_1,000XJ,9/15/23,10/12/23
1208,Salt_Tolerance,France_50mM_2,000XK,9/15/23,10/12/23
1209,Salt_Tolerance,France_50mM_3,000XL,9/15/23,10/12/23
1210,Salt_Tolerance,France_50mM_4,000XM,9/15/23,10/12/23
1211,Salt_Tolerance,France_50mM_5,000XN,9/15/23,10/12/23
1212,Salt_Tolerance,France_50mM_6,000XO,9/15/23,10/12/23
1213,Salt_Tolerance,France_100mM_1,000XP,9/15/23,10/12/23
1214,Salt_Tolerance,France_100mM_2,000XQ,9/15/23,10/12/23
1215,Salt_Tolerance,France_100mM_3,000XR,9/15/23,10/12/23
1216,Salt_Tolerance,France_100mM_4,000XS,9/15/23,10/12/23
1217,Salt_Tolerance,France_100mM_5,000XT,9/15/23,10/12/23
1218,Salt_Tolerance,France_100mM_6,000XU,9/15/23,10/12/23
1219,Salt_Tolerance,France_200mM_1,000XV,9/15/23,10/12/23
1220,Salt_Tolerance,France_200mM_2,000XW,9/15/23,10/12/23
1221,Salt_Tolerance,France_200mM_3,000XX,9/15/23,10/12/23
1222,Salt_Tolerance,France_200mM_4,000XY,9/15/23,10/12/23
1223,Salt_Tolerance,France_200mM_5,000XZ,9/15/23,10/12/23
1224,Salt_Tolerance,France_200mM_6,000Y0,9/15/23,10/12/23
1225,Salt_Tolerance,France_300mM_1,000Y1,9/15/23,10/12/23
1226,Salt_Tolerance,France_300mM_2,000Y2,9/15/23,10/12/23
1227,Salt_Tolerance,France_300mM_3,000Y3,9/15/23,10/12/23
1228,Salt_Tolerance,France_300mM_4,000Y4,9/15/23,10/12/23
1229,Salt_Tolerance,France_300mM_5,000Y5,9/15/23,10/12/23
1230,Salt_Tolerance,France_300mM_6,000Y6,9/15/23,10/12/23
1231,Salt_Tolerance,France_400mM_1,000Y7,9/15/23,10/12/23
1232,Salt_Tolerance,France_400mM_2,000Y8,9/15/23,10/12/23
1233,Salt_Tolerance,France_400mM_3,000Y9,9/15/23,10/12/23
1234,Salt_Tolerance,France_400mM_4,000YA,9/15/23,10/12/23
1235,Salt_Tolerance,France_400mM_5,000YB,9/15/23,10/12/23
1236,Salt_Tolerance,France_400mM_6,000YC,9/15/23,10/12/23
1237,Salt_Tolerance,Saudi_0mM_1,000YD,9/15/23,10/12/23
1238,Salt_Tolerance,Saudi_0mM_2,000YE,9/15/23,10/12/23
1239,Salt_Tolerance,Saudi_0mM_3,000YF,9/15/23,10/12/23
1240,Salt_Tolerance,Saudi_0mM_4,000YG,9/15/23,10/12/23
1241,Salt_Tolerance,Saudi_0mM_5,000YH,9/15/23,10/12/23
1242,Salt_Tolerance,Saudi_0mM_6,000YI,9/15/23,10/12/23
1243,Salt_Tolerance,Saudi_50mM_1,000YJ,9/15/23,10/12/23
1244,Salt_Tolerance,Saudi_50mM_2,000YK,9/15/23,10/12/23
1245,Salt_Tolerance,Saudi_50mM_3,000YL,9/15/23,10/12/23
1246,Salt_Tolerance,Saudi_50mM_4,000YM,9/15/23,10/12/23
1247,Salt_Tolerance,Saudi_50mM_5,000YN,9/15/23,10/12/23
1248,Salt_Tolerance,Saudi_50mM_6,000YO,9/15/23,10/12/23
1249,Salt_Tolerance,Saudi_100mM_1,000YP,9/15/23,10/12/23
1250,Salt_Tolerance,Saudi_100mM_2,000YQ,9/15/23,10/12/23
1250,Salt_Tolerance,Saudi_100mM_3,000YR,9/15/23,10/12/23
1252,Salt_Tolerance,Saudi_100mM_4,000YS,9/15/23,10/12/23
1253,Salt_Tolerance,Saudi_100mM_5,000YT,9/15/23,10/12/23
1254,Salt_Tolerance,Saudi_100mM_6,000YU,9/15/23,10/12/23
